,Unnamed: 0,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,zipcode,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,security_deposit,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
992,992,0.0,4,1.0,1.0,78757.0,1,3,4,2.0,2.0,2.0,3,196,400.00 ,120.0,3,3,12,154,1,100.0,0,3,1,1
993,993,0.0,4,1.0,1.0,78757.0,1,3,2,1.0,1.0,1.0,3,109,500.00 ,90.0,4,34,64,339,21,96.0,0,3,0,0
994,994,0.0,5,1.0,1.0,78757.0,1,1,1,1.0,1.0,2.0,3,32,,5.0,0,0,0,0,0,,0,1,0,0
995,995,0.0,4,1.0,1.0,78757.0,1,3,5,2.0,3.0,3.0,2,240,200.00 ,60.0,6,6,14,14,0,,1,1,0,0
996,996,0.0,4,1.0,1.0,78757.0,1,3,8,2.0,3.0,5.0,3,225,500.00 ,100.0,0,0,0,249,10,87.0,0,3,0,0
997,997,0.0,5,1.0,1.0,78757.0,1,3,5,1.0,2.0,2.0,3,300,,,0,0,0,0,0,,1,1,0,0
998,998,0.0,4,1.0,1.0,78757.0,1,3,5,1.0,3.0,3.0,3,157,300.00 ,60.0,5,24,42,102,10,100.0,0,1,0,0
999,999,0.0,6,1.0,1.0,78757.0,0,3,2,1.0,1.0,1.0,3,225,,,30,60,90,365,1,100.0,0,2,0,0
1000,1000,0.0,8,1.0,1.0,78757.0,1,3,8,2.0,4.0,5.0,3,215,,125.0,13,26,44,302,12,93.0,1,3,0,0
1001,1001,1.0,5,1.0,1.0,78757.0,1,3,2,1.0,1.0,1.0,2,65,,45.0,19,49,79,354,47,98.0,1,3,0,0
1002,1002,0.0,4,1.0,1.0,78757.0,1,3,3,1.0,1.0,1.0,3,129,300.00 ,70.0,17,40,70,345,14,86.0,0,3,0,0
1003,1003,0.0,4,1.0,1.0,78752.0,0,3,6,2.5,3.0,3.0,3,165,200.00 ,75.0,17,33,34,34,0,,0,1,0,0
1004,1004,0.0,5,1.0,1.0,78757.0,1,3,5,1.0,2.0,3.0,3,500,,100.0,0,0,0,0,0,,0,2,0,0
1005,1005,0.0,5,1.0,1.0,78757.0,1,3,3,1.0,1.0,2.0,3,75,200.00 ,45.0,10,26,42,120,5,92.0,1,3,0,0
1006,1006,1.0,5,1.0,1.0,78757.0,1,2,2,1.0,1.0,1.0,3,75,100.00 ,15.0,21,51,81,356,61,97.0,0,2,1,0
1007,1007,0.0,2,1.0,0.0,78757.0,1,2,2,1.0,1.0,1.0,3,65,125.00 ,20.0,28,58,88,88,0,,0,1,0,0
1008,1008,1.0,4,1.0,1.0,78757.0,0,3,2,1.0,0.0,1.0,3,75,,20.0,4,29,54,140,176,100.0,0,3,0,0
1009,1009,0.0,3,1.0,0.0,78757.0,0,3,7,2.0,3.0,3.0,3,245,500.00 ,180.0,0,0,0,0,3,93.0,0,3,0,0
1010,1010,0.0,4,1.0,1.0,78757.0,1,3,5,2.0,3.0,2.0,3,230,,80.0,0,0,0,0,0,,0,3,0,0
1011,1011,0.0,4,1.0,1.0,78752.0,1,3,5,1.0,2.0,1.0,3,100,,60.0,9,9,9,9,0,,0,1,0,0
1012,1012,0.0,4,1.0,1.0,78757.0,1,3,4,2.5,2.0,2.0,3,200,"1,000.00 ",150.0,0,0,0,0,1,100.0,0,2,0,0
1013,1013,0.0,4,1.0,1.0,78757.0,1,3,4,2.5,3.0,2.0,3,974,,120.0,15,15,15,231,0,,0,3,0,0
1014,1014,0.0,2,1.0,0.0,78752.0,0,3,2,1.0,1.0,1.0,2,125,,,15,45,75,75,0,,1,1,0,0
1015,1015,0.0,5,1.0,1.0,78757.0,1,3,2,1.0,2.0,2.0,3,50,500.00 ,100.0,4,4,25,25,10,96.0,0,3,0,0
1016,1016,0.0,5,1.0,1.0,78757.0,1,2,2,1.0,0.0,1.0,3,150,100.00 ,40.0,4,4,4,84,0,,1,1,0,0
1017,1017,0.0,3,1.0,0.0,78757.0,1,3,2,1.0,1.0,1.0,3,55,,,3,33,63,153,3,100.0,0,2,0,0
1018,1018,0.0,5,1.0,1.0,78757.0,1,2,2,1.0,1.0,1.0,2,46,,,28,58,88,88,0,,0,1,0,0
1019,1019,0.0,3,1.0,0.0,78757.0,0,3,4,1.0,2.0,2.0,3,129,100.00 ,75.0,23,49,75,75,27,94.0,0,2,0,0
1020,1020,0.0,5,1.0,1.0,78757.0,1,3,6,2.5,3.0,4.0,3,180,500.00 ,125.0,0,0,0,63,2,100.0,0,3,0,0
1021,1021,0.0,4,1.0,1.0,78757.0,1,3,4,1.0,2.0,3.0,3,250,,60.0,20,50,80,355,7,100.0,0,1,0,0
1022,1022,0.0,5,1.0,1.0,78752.0,1,3,4,1.0,1.0,1.0,3,150,100.00 ,,27,57,87,362,6,96.0,1,2,0,0
1023,1023,0.0,5,1.0,1.0,78757.0,1,3,5,1.0,2.0,2.0,3,135,,100.0,7,24,52,319,10,98.0,0,3,0,0
1024,1024,0.0,4,1.0,1.0,78757.0,1,3,7,2.0,3.0,4.0,3,160,,130.0,17,47,77,352,2,70.0,0,3,0,0
1025,1025,0.0,1,1.0,0.0,78757.0,1,3,1,1.0,1.0,1.0,1,145,,,0,0,0,0,0,,0,1,0,0
1026,1026,1.0,4,1.0,1.0,78757.0,1,3,5,1.0,2.0,3.0,3,99,250.00 ,87.0,3,3,30,305,13,95.0,0,3,1,1
